MonsterName,MonsterImage,MonsterAI,MonsterEffect,MonsterLevel,MonsterLight,MonsterAttackSpeed,MonsterMoveSpeed,MonsterViewRange,MonsterCoolEye,MonsterExperience,MonsterCanPush,MonsterAutoRev,MonsterUndead,MonsterCanTame,MonsterDropPath,StatMinAC,StatMaxAC,StatMinMAC,StatMaxMAC,StatMinDC,StatMaxDC,StatMinMC,StatMaxMC,StatMinSC,StatMaxSC,Stat准确,Stat敏捷,StatHP,StatMP,Stat攻击速度,Stat幸运,Stat背包负重,Stat腕力负重,Stat装备负重,Stat反弹伤害,Stat强度,Stat神圣,Stat冰冻伤害,Stat毒素伤害,Stat魔法躲避,Stat毒物躲避,Stat生命恢复,Stat法力恢复,Stat中毒恢复,Stat暴击倍率,Stat暴击伤害,Stat最大防御数率,Stat最大魔御数率,Stat最大物理攻击数率,Stat最大魔法攻击数率,Stat最大道术攻击数率,Stat攻击速度数率,Stat生命值数率,Stat法力值数率,Stat吸血数率,Stat经验增长数率,Stat物品掉落数率,Stat金币收益数率,Stat采矿出矿数率,Stat宝石成功数率,Stat钓鱼成功数率,Stat大师概率数率,Stat技能熟练度倍率,Stat攻击增伤,Stat伴侣专享经验数率,Stat师徒专享伤害数率,Stat师徒专享经验数率,Stat伤害降低数率,Stat气功盾恢复数率,Stat气功盾恢复生命值,Stat法力值消耗数率,Stat传送技法力消耗数率,StatHero,
Clone,GlacierWarrior,985,0,30,1,1200,1200,7,0,0,True,True,False,False,,8,8,5,5,0,0,25,40,0,0,15,15,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
AssassinClone,GlacierWarrior,986,0,30,1,1200,1200,7,0,0,True,True,False,False,,8,8,5,5,25,40,25,40,0,0,20,20,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
卫士,Guard,980,0,99,1,2000,0,7,0,0,False,False,False,False,,9,99,9,99,99,999,0,0,0,0,255,255,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
卫士0,Guard,981,0,99,1,2000,720,7,100,0,False,False,False,False,,9,99,9,99,99,999,0,0,0,0,255,255,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
卫士1,Guard,982,0,99,1,2000,720,7,100,0,False,False,False,False,,9,99,9,99,99,999,0,0,0,0,255,255,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
森林雪人,ForestYeti,0,0,16,1,2500,1500,7,0,36,True,True,False,True,,0,2,0,0,7,10,0,0,0,0,7,7,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
森林雪人0,ForestYeti,0,0,16,1,2500,1500,7,0,36,True,True,False,True,,0,2,0,0,7,10,0,0,0,0,7,7,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
带刀侍卫,TaoistGuard,980,0,99,1,2000,0,7,0,0,False,False,False,False,,9,99,9,99,99,999,0,0,0,0,255,255,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
带刀侍卫0,TaoistGuard,981,0,99,1,2000,0,7,100,0,False,False,False,False,,9,99,9,99,99,999,0,0,0,0,255,255,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
带刀侍卫1,TaoistGuard,982,0,99,1,2000,0,7,0,0,False,False,False,False,,9,99,9,99,99,999,0,0,0,0,255,255,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
足球,Football,3,0,99,1,2000,0,7,0,0,False,False,False,False,,9,99,9,99,99,999,0,0,0,0,255,255,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
卫兵,Guard2,980,0,99,1,2000,0,7,0,0,False,False,False,False,,9,99,9,99,99,999,0,0,0,0,255,255,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
卫兵0,Guard2,981,0,99,1,2000,0,7,100,0,False,False,False,False,,9,99,9,99,99,999,0,0,0,0,255,255,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
卫兵1,Guard2,982,0,99,1,2000,0,7,100,0,False,False,False,False,,9,99,9,99,99,999,0,0,0,0,255,255,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
食人花,CannibalPlant,10,0,20,1,2500,1500,7,0,36,False,True,False,False,,0,2,0,0,6,7,0,0,0,0,12,7,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
食人花0,CannibalPlant,10,0,20,1,2500,1500,7,0,36,False,True,False,False,,0,2,0,0,6,7,0,0,0,0,12,7,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
南瓜女巫,HalloweenScythe,0,0,16,1,2500,900,7,0,108,True,True,False,True,,2,2,1,1,6,9,0,0,2,4,8,15,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
南瓜女巫0,HalloweenScythe,0,0,16,1,2500,900,7,0,108,True,True,False,True,,2,2,1,1,6,9,0,0,2,4,8,15,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
大面团,GiantEgg,971,0,16,1,2500,1800,7,0,36,False,True,False,False,,0,0,100,100,0,0,0,0,0,0,1,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
大面团0,GiantEgg,971,0,16,1,2500,1800,7,0,36,False,True,False,False,,0,0,100,100,0,0,0,0,0,0,1,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
狼,Wolf,14,0,16,1,2500,1200,7,0,48,True,True,False,True,,0,0,0,0,6,8,0,0,0,0,10,13,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
狼0,Wolf,14,0,16,1,2500,1200,7,0,48,True,True,False,True,,0,0,0,0,6,8,0,0,0,0,10,13,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
土狼,DarkBrownWolf,14,0,16,1,2500,1200,7,0,150,True,True,False,True,,0,0,0,0,8,10,0,0,0,0,12,13,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
土狼0,DarkBrownWolf,14,0,16,1,2500,1200,7,0,150,True,True,False,True,,0,0,0,0,8,10,0,0,0,0,12,13,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
牛,Bull,161,0,13,1,3000,1400,7,0,24,True,True,False,True,,0,0,0,0,2,5,0,0,0,0,7,7,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
牛0,Bull,161,0,13,1,3000,1400,7,0,24,True,True,False,True,,0,0,0,0,2,5,0,0,0,0,7,7,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
骷髅,Skeleton,0,0,18,1,2500,1500,7,0,140,True,True,True,False,,0,0,0,0,7,10,0,0,0,0,11,13,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
骷髅0,Skeleton,0,0,18,1,2500,1500,7,0,140,True,True,True,False,,0,0,0,0,7,10,0,0,0,0,11,13,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
古代骷髅,Skeleton,0,0,18,1,2000,1500,7,0,1400,True,True,True,False,,0,0,0,0,17,35,0,0,0,0,11,13,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
古代骷髅0,Skeleton,0,0,18,1,2000,1500,7,0,1400,True,True,True,False,,0,0,0,0,17,35,0,0,0,0,11,13,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
弦月坛术士1,Skeleton,992,0,18,1,2500,1500,7,0,140,True,True,True,False,,0,0,0,0,7,10,0,0,0,0,11,13,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
掷斧骷髅,AxeSkeleton,21,0,18,1,2500,1500,7,0,140,True,True,True,False,,0,0,0,0,4,9,0,0,0,0,15,12,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
掷斧骷髅0,AxeSkeleton,21,0,18,1,2500,1500,7,0,140,True,True,True,False,,0,0,0,0,4,9,0,0,0,0,15,12,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
